2020-06-15 22:47:28,930 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role+Profile&filters=%5B%5D&_=1592256316892', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:47:28,959 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role+Profile&filters=%5B%5D&fields=%5B%22count(%60tabRole+Profile%60.%60name%60)+AS+total_count%22%5D&_=1592256316891', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:52:28,658 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:52:28,777 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role+Profile&filters=%5B%5D&fields=%5B%22count(%60tabRole+Profile%60.%60name%60)+AS+total_count%22%5D&_=1592256316893', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:52:28,786 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role+Profile&filters=%5B%5D&_=1592256316894', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:57:28,660 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:57:29,293 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role+Profile&filters=%5B%5D&fields=%5B%22count(%60tabRole+Profile%60.%60name%60)+AS+total_count%22%5D&_=1592256316895', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:57:29,377 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role+Profile&filters=%5B%5D&_=1592256316896', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 23:02:28,700 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 23:02:29,156 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role+Profile&filters=%5B%5D&fields=%5B%22count(%60tabRole+Profile%60.%60name%60)+AS+total_count%22%5D&_=1592256316897', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 23:02:29,190 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role+Profile&filters=%5B%5D&_=1592256316898', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
